Name,pvc4,pvc4,pvc4,pvc4,pvc4,pvc4,pvc4,pvc4:Marker1,pvc4:Marker1,pvc4:Marker1,pvc4:Marker2,pvc4:Marker2,pvc4:Marker2,pvc4:Marker3,pvc4:Marker3,pvc4:Marker3,pvc3,pvc3,pvc3,pvc3,pvc3,pvc3,pvc3,pvc3:Marker1,pvc3:Marker1,pvc3:Marker1,pvc3:Marker2,pvc3:Marker2,pvc3:Marker2,pvc3:Marker3,pvc3:Marker3,pvc3:Marker3,pvc2,pvc2,pvc2,pvc2,pvc2,pvc2,pvc2,pvc2:Marker1,pvc2:Marker1,pvc2:Marker1,pvc2:Marker2,pvc2:Marker2,pvc2:Marker2,pvc2:Marker3,pvc2:Marker3,pvc2:Marker3,pvc1,pvc1,pvc1,pvc1,pvc1,pvc1,pvc1,pvc1:Marker1,pvc1:Marker1,pvc1:Marker1,pvc1:Marker2,pvc1:Marker2,pvc1:Marker2,pvc1:Marker3,pvc1:Marker3,pvc1:Marker3,FrontMod,FrontMod,FrontMod,FrontMod,FrontMod,FrontMod,FrontMod,FrontMod:Marker1,FrontMod:Marker1,FrontMod:Marker1,FrontMod:Marker2,FrontMod:Marker2,FrontMod:Marker2,FrontMod:Marker3,FrontMod:Marker3,FrontMod:Marker3,BackMod2,BackMod2,BackMod2,BackMod2,BackMod2,BackMod2,BackMod2,BackMod2:Marker1,BackMod2:Marker1,BackMod2:Marker1,BackMod2:Marker2,BackMod2:Marker2,BackMod2:Marker2,BackMod2:Marker3,BackMod2:Marker3,BackMod2:Marker3,BackMod2:Marker1,BackMod2:Marker1,BackMod2:Marker1,BackMod2:Marker2,BackMod2:Marker2,BackMod2:Marker2,BackMod2:Marker3,BackMod2:Marker3,BackMod2:Marker3,FrontMod:Marker1,FrontMod:Marker1,FrontMod:Marker1,FrontMod:Marker2,FrontMod:Marker2,FrontMod:Marker2,FrontMod:Marker3,FrontMod:Marker3,FrontMod:Marker3,pvc1:Marker1,pvc1:Marker1,pvc1:Marker1,pvc1:Marker2,pvc1:Marker2,pvc1:Marker2,pvc1:Marker3,pvc1:Marker3,pvc1:Marker3,pvc2:Marker1,pvc2:Marker1,pvc2:Marker1,pvc2:Marker2,pvc2:Marker2,pvc2:Marker2,pvc2:Marker3,pvc2:Marker3,pvc2:Marker3,pvc3:Marker1,pvc3:Marker1,pvc3:Marker1,pvc3:Marker2,pvc3:Marker2,pvc3:Marker2,pvc3:Marker3,pvc3:Marker3,pvc3:Marker3,pvc4:Marker1,pvc4:Marker1,pvc4:Marker1,pvc4:Marker2,pvc4:Marker2,pvc4:Marker2,pvc4:Marker3,pvc4:Marker3,pvc4:Marker3
Component,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Axis,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X.1,Y.1,Z.1,X.1,Y.1,Z.1,X.1,Y.1,Z.1,X.1,Y.1,Z.1,X.1,Y.1,Z.1,X.1,Y.1,Z.1,X.1,Y.1,Z.1,X.1,Y.1,Z.1,X.1,Y.1,Z.1,X.1,Y.1,Z.1,X.1,Y.1,Z.1,X.1,Y.1,Z.1,X.1,Y.1,Z.1,X.1,Y.1,Z.1,X.1,Y.1,Z.1,X.1,Y.1,Z.1,X.1,Y.1,Z.1,X.1,Y.1,Z.1
Time (Seconds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.004216,0.024826,2.1e-05,0.999683,-0.276208,0.049388,0.212492,-0.104349,0.055803,0.210111,-0.343785,0.047522,0.215231,-0.38049,0.04484,0.212135,-0.009983,0.024656,0.001155,0.999646,-0.27676,0.046328,0.075969,-0.10785,0.052069,0.075826,-0.346754,0.044026,0.076644,-0.375677,0.042888,0.075438,0.011612,0.037427,-0.003637,0.999225,-0.275189,0.049969,0.148369,-0.106331,0.054108,0.145879,-0.344709,0.049262,0.150627,-0.374528,0.046538,0.148601,-0.000879,0.030524,0.000522,0.999534,-0.277976,0.045787,0.007096,-0.110429,0.05201,0.003901,-0.344122,0.043098,0.008394,-0.379377,0.042253,0.008992,-0.028381,0.991052,-0.126841,-0.030365,-0.221009,0.111679,0.051358,-0.219736,0.140791,0.078284,-0.188288,0.098618,0.034146,-0.255002,0.095628,0.041643,-0.165497,-0.026334,0.020972,0.985636,-0.226415,0.118786,0.208672,-0.214117,0.146093,0.165701,-0.25266,0.097517,0.232481,-0.212468,0.112748,0.227835,-0.213911,0.146211,0.165602,-0.252748,0.097313,0.232802,-0.212553,0.112817,0.227661,-0.220268,0.14109,0.078644,-0.188499,0.098211,0.033799,-0.253473,0.096067,0.041817,-0.110331,0.052037,0.003897,-0.343832,0.042748,0.00842,-0.379706,0.042456,0.008979,-0.106061,0.054166,0.145902,-0.34569,0.047889,0.149907,-0.374449,0.04697,0.148835,-0.107256,0.052041,0.075759,-0.346715,0.044514,0.077312,-0.376385,0.042409,0.074812,-0.104235,0.055818,0.210122,-0.343553,0.047405,0.215094,-0.380821,0.044911,0.212225
0.008,0.008165,0.024978,5e-05,0.999655,-0.2762,0.049394,0.212485,-0.104341,0.055804,0.210102,-0.343777,0.047516,0.215229,-0.380483,0.044863,0.212124,-0.018148,0.024374,0.001026,0.999538,-0.276751,0.046348,0.075981,-0.107842,0.052113,0.075841,-0.346745,0.044047,0.076653,-0.375668,0.042884,0.075448,0.024398,0.037845,-0.003379,0.99898,-0.275164,0.049964,0.148362,-0.106305,0.054094,0.14585,-0.344682,0.049229,0.150654,-0.374504,0.04657,0.148582,-0.00082,0.030518,0.000535,0.999534,-0.277987,0.045809,0.007117,-0.11044,0.052036,0.003925,-0.344133,0.043119,0.008415,-0.379388,0.042272,0.009012,-0.028214,0.991018,-0.127173,-0.030241,-0.221002,0.111721,0.051359,-0.21973,0.140851,0.078267,-0.18828,0.098639,0.034166,-0.254997,0.095673,0.041645,-0.164926,-0.026014,0.021053,0.985738,-0.226433,0.118755,0.208689,-0.214167,0.146112,0.16574,-0.25266,0.097456,0.232491,-0.212472,0.112696,0.227835,-0.213945,0.146242,0.165629,-0.252728,0.097259,0.232811,-0.212578,0.11276,0.227657,-0.220274,0.141164,0.078641,-0.188501,0.098195,0.033787,-0.253481,0.096106,0.041815,-0.110346,0.052064,0.00392,-0.34387,0.042762,0.008462,-0.379696,0.042481,0.008986,-0.106029,0.054152,0.145876,-0.345654,0.047886,0.149878,-0.374428,0.047001,0.148839,-0.107237,0.052085,0.075774,-0.346714,0.044511,0.077318,-0.37636,0.042429,0.074827,-0.10423,0.055817,0.210113,-0.343524,0.047417,0.215091,-0.380817,0.044919,0.212212
0.017,0.013827,0.025159,0.000177,0.999588,-0.276234,0.04938,0.212498,-0.104376,0.055812,0.210125,-0.34381,0.047472,0.215245,-0.380518,0.044856,0.212123,-0.03177,0.023931,0.000675,0.999209,-0.276769,0.046339,0.075968,-0.107859,0.052096,0.075825,-0.346763,0.044057,0.076639,-0.375684,0.042863,0.07544,0.04852,0.038553,-0.002765,0.998074,-0.275209,0.049873,0.148356,-0.106352,0.054028,0.145827,-0.344725,0.049065,0.150701,-0.374551,0.046526,0.148542,-0.000334,0.030491,0.000584,0.999535,-0.278016,0.045777,0.007084,-0.110469,0.052019,0.003908,-0.344162,0.043081,0.008375,-0.379416,0.042231,0.00897,-0.028435,0.99104,-0.126977,-0.030134,-0.220999,0.111713,0.051363,-0.219744,0.140832,0.078283,-0.188268,0.098653,0.03417,-0.254985,0.095653,0.041638,-0.16498,-0.026293,0.021066,0.985721,-0.226435,0.118754,0.208694,-0.214148,0.146108,0.165749,-0.252672,0.097455,0.232484,-0.212484,0.112699,0.227849,-0.213924,0.14624,0.165636,-0.252738,0.097262,0.232798,-0.212592,0.112762,0.227669,-0.220254,0.141148,0.078655,-0.188519,0.098186,0.033774,-0.253525,0.09604,0.041773,-0.110374,0.052049,0.003905,-0.343887,0.042676,0.008389,-0.379733,0.042467,0.008965,-0.106035,0.054086,0.145855,-0.345717,0.047862,0.149917,-0.374476,0.04695,0.148828,-0.10724,0.052072,0.075756,-0.346726,0.044494,0.077307,-0.376393,0.042431,0.074813,-0.104268,0.055824,0.210137,-0.343555,0.047393,0.215094,-0.380844,0.044899,0.212218
0.025,0.019287,0.025374,0.000214,0.999492,-0.276217,0.049413,0.212501,-0.104358,0.055837,0.210124,-0.343791,0.047488,0.215257,-0.380501,0.044913,0.212123,-0.048981,0.023301,0.000283,0.998528,-0.27677,0.046348,0.075974,-0.107861,0.052115,0.075848,-0.346765,0.044084,0.076634,-0.375685,0.042846,0.07544,0.079171,0.039395,-0.00207,0.99608,-0.275184,0.049877,0.148366,-0.106327,0.054034,0.145822,-0.344697,0.048986,0.15077,-0.374529,0.046609,0.148507,0.000297,0.030535,0.000653,0.999533,-0.277973,0.045831,0.007098,-0.110427,0.052093,0.003915,-0.344119,0.043126,0.008392,-0.379373,0.042273,0.008988,-0.028053,0.991059,-0.126784,-0.03067,-0.221037,0.11164,0.051304,-0.219729,0.140749,0.078232,-0.188335,0.098556,0.034073,-0.255047,0.095615,0.041606,-0.165597,-0.026414,0.021272,0.98561,-0.226431,0.118755,0.208684,-0.214147,0.14606,0.165707,-0.252664,0.097475,0.232495,-0.212482,0.11273,0.227849,-0.21391,0.146196,0.165594,-0.252728,0.097293,0.232791,-0.212593,0.112799,0.227658,-0.220202,0.141002,0.07854,-0.188519,0.098204,0.033774,-0.253495,0.096073,0.041794,-0.110336,0.052121,0.003911,-0.34382,0.042748,0.008419,-0.379688,0.042483,0.008976,-0.106025,0.054087,0.145855,-0.345648,0.047918,0.149891,-0.374452,0.046987,0.148828,-0.107277,0.052091,0.07578,-0.346734,0.044511,0.077306,-0.376358,0.042426,0.074814,-0.104254,0.055847,0.210136,-0.343521,0.047436,0.215108,-0.380826,0.044938,0.212214
0.033,0.011027,0.024981,-0.000174,0.999627,-0.276207,0.049511,0.212444,-0.104344,0.055832,0.210096,-0.343784,0.047657,0.215179,-0.380492,0.045044,0.212058,-0.067533,0.02269,-0.000148,0.997459,-0.276758,0.046318,0.075962,-0.107849,0.05209,0.075828,-0.346754,0.044073,0.07662,-0.375672,0.042789,0.075437,0.112738,0.040274,-0.001215,0.992807,-0.275177,0.049837,0.14839,-0.10632,0.054029,0.145835,-0.344686,0.048839,0.15085,-0.374524,0.046643,0.148485,0.001372,0.03059,0.000669,0.999531,-0.277983,0.045761,0.007088,-0.110437,0.052024,0.003899,-0.344128,0.043056,0.008384,-0.379383,0.042202,0.008982,-0.028458,0.991055,-0.126785,-0.030433,-0.22102,0.111683,0.051346,-0.219747,0.140792,0.078275,-0.1883,0.098627,0.034127,-0.255012,0.095628,0.041635,-0.165371,-0.026638,0.021127,0.985645,-0.226405,0.118772,0.208664,-0.214095,0.146095,0.165706,-0.252654,0.097486,0.232452,-0.212466,0.112735,0.227833,-0.213892,0.146217,0.1656,-0.252734,0.097276,0.23279,-0.212559,0.112795,0.227668,-0.22026,0.141096,0.078638,-0.188533,0.098206,0.03377,-0.25352,0.096033,0.041782,-0.110335,0.052055,0.003897,-0.343879,0.042666,0.008387,-0.37971,0.042445,0.008983,-0.106028,0.054075,0.14587,-0.345658,0.047886,0.149889,-0.374438,0.046967,0.148823,-0.107265,0.052071,0.075759,-0.346716,0.044458,0.077296,-0.376357,0.042405,0.074801,-0.104246,0.055823,0.210113,-0.343652,0.047776,0.215046,-0.380821,0.044893,0.212216
0.042,0.007465,0.024914,4.6e-05,0.999662,-0.27621,0.049391,0.212472,-0.104351,0.055802,0.210102,-0.343787,0.047515,0.21521,-0.380493,0.044857,0.212104,-0.086187,0.02204,-0.000682,0.996035,-0.276746,0.046338,0.075969,-0.107836,0.052083,0.075838,-0.346743,0.044127,0.076619,-0.37566,0.042803,0.075448,0.147676,0.04113,-0.00018,0.98818,-0.275205,0.049795,0.148381,-0.106351,0.05407,0.145828,-0.34471,0.048662,0.150888,-0.374554,0.046653,0.148427,0.002567,0.030676,0.00058,0.999526,-0.277976,0.045809,0.00711,-0.110429,0.052039,0.003907,-0.344122,0.043118,0.00841,-0.379377,0.042272,0.009013,-0.028486,0.991122,-0.126258,-0.030399,-0.221014,0.111693,0.051358,-0.219742,0.140774,0.078318,-0.188293,0.098657,0.034126,-0.255005,0.095648,0.041628,-0.165327,-0.02626,0.021413,0.985657,-0.226446,0.118749,0.208685,-0.214185,0.14608,0.165718,-0.252666,0.09745,0.232494,-0.212489,0.112717,0.227842,-0.213943,0.14621,0.165619,-0.252735,0.097274,0.232775,-0.212589,0.112794,0.227643,-0.220265,0.141085,0.07869,-0.188531,0.098219,0.033754,-0.253493,0.096058,0.041777,-0.110326,0.052068,0.003903,-0.343855,0.042747,0.00843,-0.379713,0.042499,0.009003,-0.10601,0.054113,0.14587,-0.345662,0.047917,0.149895,-0.374473,0.046944,0.148831,-0.10722,0.052066,0.075767,-0.346698,0.044502,0.077309,-0.376381,0.042425,0.074795,-0.104236,0.055815,0.210114,-0.343553,0.047428,0.215068,-0.380827,0.044908,0.212198
0.05,0.010052,0.025055,1.5e-05,0.999636,-0.276208,0.0494,0.212485,-0.104348,0.055791,0.2101,-0.343784,0.047523,0.215233,-0.380491,0.044888,0.212123,-0.103435,0.021472,-0.001121,0.994404,-0.276765,0.046325,0.075971,-0.107854,0.052063,0.075829,-0.346762,0.044139,0.07662,-0.375678,0.042774,0.075463,0.182021,0.042003,0.000668,0.982397,-0.275212,0.049771,0.148396,-0.106359,0.054074,0.145814,-0.344714,0.048524,0.150955,-0.374564,0.046716,0.148418,0.003834,0.030682,0.000569,0.999522,-0.277983,0.045811,0.0071,-0.110436,0.052032,0.00391,-0.34413,0.043123,0.008394,-0.379384,0.042279,0.008995,-0.0281,0.991101,-0.12653,-0.030319,-0.221014,0.111688,0.051346,-0.21973,0.140783,0.078291,-0.188299,0.098618,0.034131,-0.255015,0.095662,0.041617,-0.165144,-0.026079,0.021107,0.985699,-0.226429,0.118746,0.208663,-0.214161,0.146085,0.165704,-0.252656,0.097455,0.232472,-0.21247,0.112697,0.227814,-0.21395,0.146208,0.165601,-0.252736,0.097255,0.232791,-0.212563,0.112764,0.227639,-0.220267,0.141092,0.078662,-0.188523,0.09819,0.033766,-0.253483,0.096092,0.041782,-0.110335,0.052062,0.003906,-0.343861,0.042727,0.008419,-0.379718,0.042519,0.008983,-0.106023,0.054111,0.145859,-0.345681,0.047889,0.149894,-0.374479,0.046957,0.148839,-0.107255,0.052049,0.07576,-0.346716,0.044466,0.077291,-0.376379,0.042441,0.074826,-0.10424,0.055806,0.210112,-0.343552,0.047398,0.215084,-0.380803,0.044961,0.212218
